slide_id,state,district,slide_name,slide_no,nh_sh_location,latitude,longitude,coordinate_valid,material_involved,movement_type,history,history_date,date_available,source
1588,Arunachal Pradesh,Lower Dibang Valley,"From Roing 18 kms along NH-313 
towards Hunli",AP/LDV/82P16/2022/63,"Newly connstructing Roing-
Hunli/ Anini road NH-313",28.212275,95.802589,True,Debris,Slide,,,False,GSI Bhusanket
1589,Arunachal Pradesh,Lower Dibang Valley,"From Roing 17.95 kms along NH-313 
towards Mayudia Pass",AP/LDV/82P16/2022/71,NH-313 (Roing-Anini road),28.21267,95.803194,True,Debris,Slide,,,False,GSI Bhusanket
1590,Arunachal Pradesh,Upper Siang,Pasighat-Yingkiong road Slide 20,AR/US/82P04/2022/107,NH-513,28.213028,95.232528,True,Debris,Slide,,,False,GSI Bhusanket
1591,Arunachal Pradesh,Anjaw,Bamlan Slide,AR/ANJ/91D12/2014/27,HMC road,28.21483,96.53911,True,Debris,Slide,2013,,False,GSI Bhusanket
1592,Arunachal Pradesh,Lower Dibang Valley,"From Roing 18.6 kms along NH-313 
towards Hunli",AP/LDV/82P16/2022/61,"Newly connstructing Roing-
Hunli/ Anini road NH-313",28.215014,95.799764,True,Rock,Slide,,,False,GSI Bhusanket
1593,Arunachal Pradesh,Lower Dibang Valley,"From Roing 19.5 kms along NH-313 
towards Hunli",AP/LDV/82P16/2022/57,"Newly connstructing Roing-
Hunli/ Anini road NH-313",28.215206,95.793704,True,Debris,Slide,,,False,GSI Bhusanket
1594,Arunachal Pradesh,Lower Dibang Valley,"From Roing 19.4 kms along NH-313 
towards Mayudia Pass",AP/LDV/82P16/2022/69,NH-313 (Roing-Anini road),28.215862,95.795227,True,Debris,Slide,,,False,GSI Bhusanket
1595,Arunachal Pradesh,Lower Dibang Valley,"From Roing 18.7 kms along NH-313 
towards Mayudia Pass",AP/LDV/82P16/2022/70,NH-313 (Roing-Anini road),28.215926,95.799557,True,Rock,Slide,,,False,GSI Bhusanket
1596,Arunachal Pradesh,Lower Dibang Valley,"From Roing 19 kms along NH-313 
towards Mayudia Pass",AP/LDV/82P16/2022/60,NH-313 (Roing-Anini road),28.216253,95.796393,True,Debris,Slide,,,False,GSI Bhusanket
1597,Arunachal Pradesh,Lower Dibang Valley,"From Roing 20.1 kms along NH-313 
towards Hunli",AP/LDV/82P16/2022/58,"Newly connstructing Roing-
Hunli/ Anini road NH-313",28.216997,95.790585,True,Debris,Slide,,,False,GSI Bhusanket
1598,Arunachal Pradesh,Lower Dibang Valley,"From Roing 20.2 kms along NH-313 
towards Hunli",AP/LDV/82P16/2022/55,"Newly connstructing Roing-
Hunli/ Anini road NH-313",28.217204,95.789599,True,Debris,Slide,,,False,GSI Bhusanket
1599,Arunachal Pradesh,Lower Dibang Valley,"From Roing 19.87 kms along NH-313 
towards Hunli",AP/LDV/82P16/2022/59,"Newly connstructing Roing-
Hunli/ Anini road NH-313",28.217543,95.792489,True,Debris,Slide,,,False,GSI Bhusanket
1600,Arunachal Pradesh,Lower Dibang Valley,"From Roing 19.8 kms along NH-313 
towards Hunli",AP/LDV/82P16/2022/56,"Newly connstructing Roing-
Hunli/ Anini road NH-313",28.217595,95.793032,True,Debris,Slide,,,False,GSI Bhusanket
1601,Arunachal Pradesh,Lower Dibang Valley,"From Roing 19.7 kms along NH-313 
towards Mayudia Pass",AP/LDV/82P16/2022/68,NH-313 (Roing-Anini road),28.218539,95.794022,True,Rock,Slide,,,False,GSI Bhusanket
1602,Arunachal Pradesh,Lower Dibang Valley,"From Roing 20.5 kms along NH-313 
towards Hunli",AP/LDV/82P16/2022/54,"Newly connstructing Roing-
Hunli/ Anini road NH-313",28.21909,95.791084,True,Rock,Slide,,,False,GSI Bhusanket
1603,Arunachal Pradesh,Lower Dibang Valley,"From Roing 20.8 kms along NH-313 
towards Mayudia Pass",AP/LDV/82P16/2022/67,NH-313 (Roing-Anini road),28.219976,95.799065,True,Debris,Slide,,,False,GSI Bhusanket
1604,Arunachal Pradesh,Anjaw,32.4 km Slide,AR/ANJ/91D12/2014/14,HMC road,28.22328,96.55303,True,Rock,Slide,2013,,False,GSI Bhusanket
1605,Arunachal Pradesh,Anjaw,29.9 km Slide,AR/ANJ/91D12/2014/28,HMC road,28.22381,96.53644,True,Rock,Slide,2013,,False,GSI Bhusanket
1606,Arunachal Pradesh,Lower Dibang Valley,"From Roing 27.1 kms along NH-313 
towards Mayudia Pass",AP/LDV/82P16/2022/38,NH-313 (Roing-Anini road),28.223825,95.829105,True,Debris,Slide,,,False,GSI Bhusanket
1607,Arunachal Pradesh,Anjaw,33.3 km slide,AR/ANJ/91D12/2014/09,HMC road,28.22408,96.55872,True,Rock,Slide,2013,,False,GSI Bhusanket
1608,Arunachal Pradesh,West Siang,Damda-Debuk Slide 1,AR/WS/82L16/2022/081,NH-13,28.225583,94.889167,True,Debris,Slide,,,False,GSI Bhusanket
1609,Arunachal Pradesh,West Siang,Damda-Debuk Slide 2,AR/WS/82L16/2022/082,NH-13,28.226722,94.895611,True,Soil,Slide,,,False,GSI Bhusanket
1610,Arunachal Pradesh,Siang,South of Jeru Slide 3,AR/S/82P04/2022/031,NH-13,28.22675,94.225111,True,Debris,slide,,,False,GSI Bhusanket
1611,Arunachal Pradesh,Lower Dibang Valley,"From Roing 21.8 kms along NH-313 
towards Hunli",AP/LDV/82P16/2022/53,"Newly connstructing Roing-
Hunli/ Anini road NH-313",28.227703,95.781369,True,Debris,Slide,,,False,GSI Bhusanket
1612,Arunachal Pradesh,East Siang,"From Bomjir 17.6 kms along NH-13 
towards Pasighat",AP/ES/82P12/2022/76,NH-313 (Roing-Pasighat road),28.227891,95.541082,True,Debris,Slide,,,False,GSI Bhusanket
1613,Arunachal Pradesh,Anjaw,,AR/ANJ/91D12/2014/41,H. M. C. Road,28.22797,96.54606,True,Debris,Slide,2013,,False,GSI Bhusanket
1614,Arunachal Pradesh,West Siang,Damda-Debuk Slide 3,AR/WS/82L16/2022/083,NH-13,28.228528,94.904278,True,Soil,Slide,,,False,GSI Bhusanket
1615,Arunachal Pradesh,Lower Dibang Valley,"From Roing 22 kms along NH-313 
towards Hunli",AP/LDV/82P16/2022/50,"Newly connstructing Roing-
Hunli/ Anini road NH-313",28.229114,95.780019,True,Debris,Slide,,,False,GSI Bhusanket
1616,Arunachal Pradesh,Lower Dibang Valley,"From Roing 22.17 kms along NH-313 
towards Hunli",AP/LDV/82P16/2022/52,"Newly connstructing Roing-
Hunli/ Anini road NH-313",28.229809,95.779855,True,Debris,Slide,,,False,GSI Bhusanket
1617,Arunachal Pradesh,Anjaw,,AR/ANJ/91D12/2014/40,H. M. C. Road,28.23153,96.54272,True,Debris,Slide,2013,,False,GSI Bhusanket
1618,Arunachal Pradesh,West Siang,Damda-Debuk Slide 4,AR/WS/82L16/2022/084,NH-13,28.232472,94.914889,True,Soil,Slide,,,False,GSI Bhusanket
1619,Arunachal Pradesh,Lower Dibang Valley,"From Roing 22.9 kms along NH-313 
towards Hunli",AP/LDV/82P16/2022/49,"Newly connstructing Roing-
Hunli/ Anini road NH-313",28.234199,95.777037,True,Debris,Slide,,,False,GSI Bhusanket
1620,Arunachal Pradesh,West Siang,Koreng-Aalo road Slide 3,AR/WS/82L16/2022/087,NH-13,28.234833,94.972278,True,Rock,Slide,,,False,GSI Bhusanket
1621,Arunachal Pradesh,West Siang,Koreng-Aalo road Slide 1,AR/WS/82L16/2022/085,NH-13,28.235361,94.933333,True,Soil,Slide,,,False,GSI Bhusanket
1622,Arunachal Pradesh,Lower Dibang Valley,"From Roing 23.3 kms along NH-313 
towards Hunli",AP/LDV/82P16/2022/48,"Newly connstructing Roing-
Hunli/ Anini road NH-313",28.237008,95.776204,True,Debris,Slide,,,False,GSI Bhusanket
1623,Arunachal Pradesh,West Siang,Koreng-Aalo road Slide 2,AR/WS/82L16/2022/086,NH-13,28.237361,94.954808,True,Debris,Slide,,,False,GSI Bhusanket
1624,Arunachal Pradesh,Lower Dibang Valley,"From Roing 46.8 kms along NH-313 
towards Mayudia Pass",AP/LDV/82P16/2022/32,NH-313 (Roing-Anini road),28.237425,95.897823,True,Rock,Slide,,,False,GSI Bhusanket
1625,Arunachal Pradesh,East Siang,"From Bomjir 16 kms along NH-13 
towards Pasighat",AP/ES/82P12/2022/79,NH-313 (Roing-Pasighat road),28.237716,95.535611,True,Debris,Slide,,,False,GSI Bhusanket
1626,Arunachal Pradesh,Lower Dibang Valley,"From Roing 23.5 kms along NH-313 
towards Hunli",AP/LDV/82P16/2022/47,"Newly connstructing Roing-
Hunli/ Anini road NH-313",28.238144,95.774758,True,Debris,Slide,,,False,GSI Bhusanket
1627,Arunachal Pradesh,Lower Dibang Valley,"IHO Viewpoint landslide. From Roing 
46.3 kms along NH-313 towards 
Mayudia Pass",AP/LDV/82P16/2022/33,NH-313 (Roing-Anini road),28.238615,95.893348,True,Debris,Slide,,,False,GSI Bhusanket
1628,Arunachal Pradesh,Lower Dibang Valley,"IHO Viewpoint landslide. From Roing 
46.2 kms along NH-313 towards 
Mayudia Pass",AP/LDV/82P16/2022/34,NH-313 (Roing-Anini road),28.238692,95.892681,True,Debris,Slide,,,False,GSI Bhusanket
1629,Arunachal Pradesh,Lower Dibang Valley,"From Roing 23.7 kms along NH-313 
towards Hunli",AP/LDV/82P16/2022/39,"Newly connstructing Roing-
Hunli/ Anini road NH-313",28.239482,95.774559,True,Rock,Slide,,,False,GSI Bhusanket
1630,Arunachal Pradesh,Anjaw,37.6 km rockslide,AR/ANJ/91D12/2014/39,H. M. C. Road,28.23969,96.52778,True,Rock,Topple,2013,,False,GSI Bhusanket
1631,Arunachal Pradesh,Lower Dibang Valley,"From Roing 23.8 kms along NH-313 
towards Hunli",AP/LDV/82P16/2022/46,"Newly connstructing Roing-
Hunli/ Anini road NH-313",28.240442,95.774201,True,Rock,Slide,,,False,GSI Bhusanket
1632,Arunachal Pradesh,Lower Dibang Valley,"From Roing 37 kms along NH-313 
towards Mayudia Pass",AP/LDV/82P16/2022/36,NH-313 (Roing-Anini road),28.240521,95.866592,True,Debris,Slide,,,False,GSI Bhusanket
1633,Arunachal Pradesh,Lower Dibang Valley,"From Roing 37.12 kms along NH-313 
towards Mayudia Pass",AP/LDV/82P16/2022/37,NH-313 (Roing-Anini road),28.241041,95.866387,True,Rock,Slide,,,False,GSI Bhusanket
1634,Arunachal Pradesh,Lower Dibang Valley,Mayudia Pass landslide.,AP/LDV/82P16/2022/31,NH-313 (Roing-Anini road),28.24175,95.925012,True,Debris,Slide,,,False,GSI Bhusanket
1635,Arunachal Pradesh,Lower Dibang Valley,"Mayudia Pass landslide. From 
Mayudia Pass 0.2 kms along NH-313 
towards Hunli",AP/LDV/82P16/2022/30,NH-313 (Roing-Anini road),28.242214,95.923556,True,Debris,Slide,,,False,GSI Bhusanket
1636,Arunachal Pradesh,Upper Siang,South of Jeru Slide 4,AR/S/82P04/2022/032,NH-513,28.242389,94.220861,True,Debris,Slide,,,False,GSI Bhusanket
1637,Arunachal Pradesh,East Siang,"From Bomjir 15.5 kms along NH-13 
towards Pasighat",AP/ES/82P12/2022/80,NH-313 (Roing-Pasighat road),28.242444,95.536828,True,Rock,Fall,,,False,GSI Bhusanket
1638,Arunachal Pradesh,Lower Dibang Valley,"Mayudia Pass landslide. From 
Mayudia Pass 0.3 kms along NH-313 
towards Hunli",AP/LDV/82P16/2022/29,NH-313 (Roing-Anini road),28.242782,95.922731,True,Rock,Slide,,,False,GSI Bhusanket
1639,Arunachal Pradesh,East Siang,"From Bomjir 15.3 kms along NH-13 
towards Pasighat",AP/ES/82P12/2022/81,NH-313 (Roing-Pasighat road),28.242969,95.537549,True,Rock,Slide,,,False,GSI Bhusanket
1640,Arunachal Pradesh,Lower Dibang Valley,"From Roing 24.4 kms along NH-313 
towards Hunli",AP/LDV/82P16/2022/40,"Newly connstructing Roing-
Hunli/ Anini road NH-313",28.242997,95.772144,True,Debris,Slide,,,False,GSI Bhusanket
